id,type,src,dst,app,latency,message,ctime,size,buffer
10,LINK,46,2,SimpleCase,1.039507,M.J2,105.60997022222222,39507,45
10,LINK,46,2,SimpleCase,1.057263,M.J2,105.60997022222222,57263,46
10,LINK,46,2,SimpleCase,1.049748,M.J2,105.60997022222222,49748,47
7,LINK,48,2,SimpleCase,1.040809,M.G2,106.05770176595746,40809,44
7,LINK,48,2,SimpleCase,1.007489,M.G2,106.05770176595746,7489,45
14,LINK,53,2,SimpleCase,1.028663,M.N2,106.233128023,28663,42
14,LINK,53,2,SimpleCase,1.012338,M.N2,106.233128023,12338,43
14,LINK,53,2,SimpleCase,1.054303,M.N2,106.233128023,54303,44
14,LINK,53,2,SimpleCase,1.001103,M.N2,106.233128023,1103,45
14,LINK,53,2,SimpleCase,1.013323,M.N2,106.233128023,13323,46
14,LINK,53,2,SimpleCase,1.055542,M.N2,106.233128023,55542,47
14,LINK,53,2,SimpleCase,1.049329,M.N2,106.233128023,49329,48
14,LINK,53,2,SimpleCase,1.017538,M.N2,106.233128023,17538,49
23,LINK,40,2,SimpleCase,1.049702,M.W2,106.2356707948718,49702,50
23,LINK,40,2,SimpleCase,1.030799,M.W2,106.2356707948718,30799,51
18,LINK,53,2,SimpleCase,1.045357,M.R2,107.284450752,45357,41
18,LINK,53,2,SimpleCase,1.047074,M.R2,107.284450752,47074,42
18,LINK,53,2,SimpleCase,1.027506,M.R2,107.284450752,27506,43
18,LINK,53,2,SimpleCase,1.05254,M.R2,107.284450752,52540,44
18,LINK,53,2,SimpleCase,1.012847,M.R2,107.284450752,12847,45
18,LINK,53,2,SimpleCase,1.058828,M.R2,107.284450752,58828,46
18,LINK,53,2,SimpleCase,1.051328,M.R2,107.284450752,51328,47
11,LINK,45,2,SimpleCase,1.002462,M.K2,107.63541554545455,2462,46
11,LINK,45,2,SimpleCase,1.040312,M.K2,107.63541554545455,40312,47
11,LINK,45,2,SimpleCase,1.032049,M.K2,107.63541554545455,32049,48
11,LINK,45,2,SimpleCase,1.014961,M.K2,107.63541554545455,14961,49
24,LINK,39,2,SimpleCase,1.048283,M.X2,107.73192915789474,48283,48
24,LINK,39,2,SimpleCase,1.006666,M.X2,107.73192915789474,6666,49
20,LINK,53,2,SimpleCase,1.028274,M.T2,108.287904349,28274,46
20,LINK,53,2,SimpleCase,1.001374,M.T2,108.287904349,1374,47
20,LINK,53,2,SimpleCase,1.003452,M.T2,108.287904349,3452,48
21,LINK,53,2,SimpleCase,1.007553,M.U2,109.334473285,7553,38
21,LINK,53,2,SimpleCase,1.04655,M.U2,109.334473285,46550,39
25,LINK,53,2,SimpleCase,1.028663,M.Y2,110.348923789,28663,33
25,LINK,53,2,SimpleCase,1.014466,M.Y2,110.348923789,14466,34
26,LINK,53,2,SimpleCase,1.044929,M.Z2,111.40121891899999,44929,30
26,LINK,53,2,SimpleCase,1.054771,M.Z2,111.40121891899999,54771,31
26,LINK,53,2,SimpleCase,1.042639,M.Z2,111.40121891899999,42639,32
26,LINK,53,2,SimpleCase,1.053238,M.Z2,111.40121891899999,53238,33
26,LINK,53,2,SimpleCase,1.044242,M.Z2,111.40121891899999,44242,34
26,LINK,53,2,SimpleCase,1.052295,M.Z2,111.40121891899999,52295,35
27,LINK,1,53,SimpleCase,1.058587,M.A,200,58587,0
28,LINK,1,53,SimpleCase,1.045113,M.B,200,45113,1
29,LINK,1,51,SimpleCase,1.012121,M.C,200,12121,2
30,LINK,1,52,SimpleCase,1.05997,M.D,200,59970,3
31,LINK,1,50,SimpleCase,1.058379,M.E,200,58379,4
32,LINK,1,49,SimpleCase,1.057199,M.F,200,57199,5
33,LINK,1,48,SimpleCase,1.007489,M.G,200,7489,6
34,LINK,1,47,SimpleCase,1.048544,M.H,200,48544,7
35,LINK,1,53,SimpleCase,1.053548,M.I,200,53548,8
36,LINK,1,46,SimpleCase,1.049748,M.J,200,49748,9
37,LINK,1,45,SimpleCase,1.014961,M.K,200,14961,10
38,LINK,1,53,SimpleCase,1.038866,M.L,200,38866,11
39,LINK,1,53,SimpleCase,1.019438,M.M,200,19438,12
40,LINK,1,53,SimpleCase,1.017538,M.N,200,17538,13
41,LINK,1,44,SimpleCase,1.055258,M.O,200,55258,14
42,LINK,1,43,SimpleCase,1.022321,M.P,200,22321,15
43,LINK,1,43,SimpleCase,1.040691,M.Q,200,40691,16
44,LINK,1,53,SimpleCase,1.051328,M.R,200,51328,17
45,LINK,1,42,SimpleCase,1.033266,M.S,200,33266,18
46,LINK,1,53,SimpleCase,1.003452,M.T,200,3452,19
47,LINK,1,53,SimpleCase,1.04655,M.U,200,46550,20
48,LINK,1,41,SimpleCase,1.055899,M.V,200,55899,21
49,LINK,1,40,SimpleCase,1.030799,M.W,200,30799,22
50,LINK,1,39,SimpleCase,1.006666,M.X,200,6666,23
51,LINK,1,53,SimpleCase,1.014466,M.Y,200,14466,24
